molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL1082152,CHEMBL262,9.75,active
CHEMBL1082153,CHEMBL262,9.4,active
CHEMBL1082158,CHEMBL260,8.85,active
CHEMBL1082159,CHEMBL260,8.52,active
CHEMBL1082182,CHEMBL260,8.39,active
CHEMBL1082183,CHEMBL260,8.11,active
CHEMBL1082205,CHEMBL260,8.0,active
CHEMBL1082206,CHEMBL260,8.8,active
CHEMBL1082235,CHEMBL262,6.45,inactive
CHEMBL1082236,CHEMBL262,7.57,active
CHEMBL1082237,CHEMBL262,6.01,inactive
CHEMBL1082291,CHEMBL4722,8.4,active
CHEMBL1082437,CHEMBL279,7.66,active
CHEMBL1082437,CHEMBL4128,6.26,inactive
CHEMBL1082438,CHEMBL279,8.05,active
CHEMBL1082438,CHEMBL4128,7.06,active
CHEMBL1082439,CHEMBL3231,5.85,inactive
CHEMBL1082492,CHEMBL4722,8.22,active
CHEMBL1082503,CHEMBL279,8.3,active
CHEMBL1082503,CHEMBL4128,7.36,active
CHEMBL1082507,CHEMBL4722,7.8,active
CHEMBL1082551,CHEMBL5145,4.7,inactive
CHEMBL1082597,CHEMBL4722,8.0,active
CHEMBL1082607,CHEMBL2842,4.83,inactive
CHEMBL1082607,CHEMBL4040,4.8,inactive
CHEMBL1082693,CHEMBL258,6.89,active
CHEMBL1082755,CHEMBL279,7.75,active
CHEMBL1082755,CHEMBL4128,8.05,active
CHEMBL1082756,CHEMBL279,7.66,active
CHEMBL1082756,CHEMBL4128,7.77,active
CHEMBL1082758,CHEMBL3231,5.54,inactive
CHEMBL1082826,CHEMBL279,7.82,active
CHEMBL1082826,CHEMBL4128,7.39,active
CHEMBL1082829,CHEMBL279,7.8100000000000005,active
CHEMBL1082829,CHEMBL4128,8.0,active
CHEMBL1082830,CHEMBL4722,7.09,active
CHEMBL1082831,CHEMBL4722,7.28,active
CHEMBL1082866,CHEMBL2637,5.3,inactive
CHEMBL1082940,CHEMBL1868,4.529999999999999,inactive
CHEMBL1083001,CHEMBL258,7.12,active
CHEMBL1083042,CHEMBL279,7.7,active
CHEMBL1083042,CHEMBL4128,7.62,active
CHEMBL1083071,CHEMBL279,8.1,active
CHEMBL1083071,CHEMBL4128,6.15,inactive
