target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5698,CHEMBL5468072,9,B
CHEMBL5698,CHEMBL5468845,9,B
CHEMBL5698,CHEMBL5468846,9,B
CHEMBL5698,CHEMBL5469940,9,B
CHEMBL5698,CHEMBL5469941,9,B
CHEMBL5698,CHEMBL5472437,9,B
CHEMBL5698,CHEMBL5473076,9,B
CHEMBL5698,CHEMBL5473429,9,B
CHEMBL5698,CHEMBL5473610,9,B
CHEMBL5698,CHEMBL5473623,9,B
CHEMBL5698,CHEMBL5473905,9,B
CHEMBL5698,CHEMBL5474281,9,B
CHEMBL5698,CHEMBL5474852,9,B
CHEMBL5698,CHEMBL5475552,9,B
CHEMBL5698,CHEMBL5475553,9,B
CHEMBL5698,CHEMBL5476253,9,B
CHEMBL5698,CHEMBL5477219,9,B
CHEMBL5698,CHEMBL5477721,9,B
CHEMBL5698,CHEMBL5478507,9,B
CHEMBL5698,CHEMBL5479311,9,B
CHEMBL5698,CHEMBL5480140,9,B
CHEMBL5698,CHEMBL5480734,9,B
CHEMBL5698,CHEMBL5480906,9,B
CHEMBL5698,CHEMBL5481793,9,B
CHEMBL5698,CHEMBL5482013,9,B
CHEMBL5698,CHEMBL5482014,9,B
CHEMBL5698,CHEMBL5482525,9,B
CHEMBL5698,CHEMBL5634771,9,B
CHEMBL5698,CHEMBL5648543,9,B
CHEMBL5698,CHEMBL5649425,9,B
CHEMBL5698,CHEMBL5649922,9,B
CHEMBL5698,CHEMBL5651937,9,B
CHEMBL5698,CHEMBL5655022,9,B
CHEMBL5698,CHEMBL5655312,9,B
CHEMBL5698,CHEMBL5655602,9,B
CHEMBL5698,CHEMBL5658600,9,B
CHEMBL5698,CHEMBL5659011,9,B
CHEMBL5698,CHEMBL5659096,9,B
CHEMBL5698,CHEMBL5659885,9,B
CHEMBL5698,CHEMBL5660210,9,B
CHEMBL5698,CHEMBL5660535,9,B
CHEMBL5698,CHEMBL5660859,9,B
CHEMBL5698,CHEMBL5661183,9,B
CHEMBL5698,CHEMBL5661507,9,B
CHEMBL5698,CHEMBL5675350,9,B
CHEMBL5698,CHEMBL5680183,9,B
CHEMBL5698,CHEMBL5681130,9,B
CHEMBL5698,CHEMBL5683701,9,B
CHEMBL5698,CHEMBL5686443,9,B
CHEMBL5698,CHEMBL5686911,9,B
CHEMBL5698,CHEMBL5701829,9,B
CHEMBL5698,CHEMBL5702174,9,B
CHEMBL5698,CHEMBL5702747,9,B
CHEMBL5698,CHEMBL5703160,9,B
CHEMBL5698,CHEMBL5703403,9,B
CHEMBL5698,CHEMBL5703693,9,B
